timestamp,model_name,process_name,pipeline_features,num_vars,trainable_params,accuracy_val,precision_val,recall_val,f1_val
2025-12-01T17:32:00,SGD_Classifier,,HOG,181476.0,,0.71,0.75,0.71,0.7
2025-12-01T17:32:06,KNN 3 neighbors,,HOG,181476.0,,0.17,0.03,0.17,0.05
2025-12-01T17:32:49,SGD_Classifier,,GLCM global,24.0,,1.0,1.0,1.0,1.0
2025-12-01T17:32:51,KNN 3 neighbors,,GLCM global,24.0,,1.0,1.0,1.0,1.0
2025-12-01T17:34:10,SGD_Classifier,,LBP,32.0,,0.99,0.99,0.99,0.99
2025-12-01T17:34:13,KNN 3 neighbors,,LBP,32.0,,1.0,1.0,1.0,1.0
2025-12-01T17:34:15,SGD_Classifier,,Harris,4.0,,0.96,0.96,0.96,0.96
2025-12-01T17:34:17,KNN 3 neighbors,,Harris,4.0,,0.96,0.96,0.96,0.96
2025-12-01T17:34:20,SGD_Classifier,,Canny,4.0,,0.64,0.57,0.64,0.57
2025-12-01T17:34:22,KNN 3 neighbors,,Canny,4.0,,0.78,0.77,0.78,0.77
2025-12-01T17:35:29,SGD_Classifier,,SIFT 1D,256.0,,1.0,1.0,1.0,1.0
2025-12-01T17:37:36,KNN 3 neighbors,,SIFT 1D,256.0,,1.0,1.0,1.0,1.0
2025-12-01T17:42:20,SGD_Classifier,SIFT + BoVW,SIFT + BoVW,60.0,,1.0,1.0,1.0,1.0
2025-12-01T17:42:22,KNN 3 neighbors,SIFT + BoVW,SIFT + BoVW,60.0,,1.0,1.0,1.0,1.0
2025-12-01T17:46:59,SGD_Classifier,SIFT + VLAD,SIFT + VLAD,60.0,,1.0,1.0,1.0,1.0
2025-12-01T17:47:01,KNN 3 neighbors,SIFT + VLAD,SIFT + VLAD,60.0,,1.0,1.0,1.0,1.0
2025-12-02T12:39:52,FC,,-,,8393062.0,0.17,0.03,0.17,0.05
2025-12-02T12:40:29,CNN,,-,,8777350.0,0.96,0.97,0.96,0.96
